year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2007,MITSUBISHI,CANTER,FE71DBD,3-3.5,90k-120k,2,1527500,1527500,1377000,1678000
2007,MITSUBISHI,CANTER,FE71DD,3-3.5,150k-200k,1,1583000,1583000,1583000,1583000
2007,MITSUBISHI,CANTER,FE71DD,3-3.5,90k-120k,1,1577000,1577000,1577000,1577000
2007,MITSUBISHI,CANTER,FE72B,3-3.5,120k-150k,1,556000,556000,556000,556000
2007,MITSUBISHI,CANTER,FE72BE,3-3.5,90k-120k,1,454000,454000,454000,454000
2007,MITSUBISHI,CANTER,FE72DEV,3-3.5,200k+,3,835000,733000,494000,870000
2007,MITSUBISHI,CANTER,FE72DEV,3-3.5,90k-120k,1,1910000,1910000,1910000,1910000
2007,MITSUBISHI,CANTER,FE73D,3-3.5,150k-200k,1,701000,701000,701000,701000
2007,MITSUBISHI,CANTER,FE73D,3-3.5,200k+,1,464000,464000,464000,464000
2007,MITSUBISHI,CANTER,FE73D,R,120k-150k,1,770000,770000,770000,770000
2007,MITSUBISHI,CANTER,FE73D,R,200k+,1,451000,451000,451000,451000
2007,MITSUBISHI,CANTER,FE73D,R,60k-90k,1,604000,604000,604000,604000
2007,MITSUBISHI,CANTER,FE73DB,3-3.5,0-30k,1,394000,394000,394000,394000
2007,MITSUBISHI,CANTER,FE73DB,3-3.5,200k+,1,1050000,1050000,1050000,1050000
2007,MITSUBISHI,CANTER,FE73DB,3-3.5,30k-60k,2,589500,589500,475000,704000
2007,MITSUBISHI,CANTER,FE73DB,3-3.5,60k-90k,7,540000,540571,400000,815000
2007,MITSUBISHI,CANTER,FE73DB,3-3.5,90k-120k,1,677000,677000,677000,677000
2007,MITSUBISHI,CANTER,FE73DB,R,0-30k,1,469000,469000,469000,469000
2007,MITSUBISHI,CANTER,FE73DB,R,200k+,1,369000,369000,369000,369000
2007,MITSUBISHI,CANTER,FE73DC,R,30k-60k,1,1688000,1688000,1688000,1688000
2007,MITSUBISHI,CANTER,FE73DEN,3-3.5,120k-150k,1,1452000,1452000,1452000,1452000
2007,MITSUBISHI,CANTER,FE73DY,3-3.5,200k+,1,1033000,1033000,1033000,1033000
2007,MITSUBISHI,CANTER,FE73DY,3-3.5,30k-60k,2,2468500,2468500,2424000,2513000
2007,MITSUBISHI,CANTER,FE73DY,R,200k+,1,651000,651000,651000,651000
2007,MITSUBISHI,CANTER,FE74BV,3-3.5,200k+,1,412000,412000,412000,412000
2007,MITSUBISHI,CANTER,FE74DV,3-3.5,200k+,4,561500,527750,404000,584000
2007,MITSUBISHI,CANTER,FE74DV,R,200k+,2,454000,454000,407000,501000
2007,MITSUBISHI,CANTER,FE82D,3-3.5,150k-200k,1,835000,835000,835000,835000
2007,MITSUBISHI,CANTER,FE82D,3-3.5,200k+,2,1006000,1006000,877000,1135000
2007,MITSUBISHI,CANTER,FE82D,R,200k+,1,484000,484000,484000,484000
2007,MITSUBISHI,CANTER,FE82DE,3-3.5,60k-90k,1,502000,502000,502000,502000
2007,MITSUBISHI,CANTER,FE82DEX,3-3.5,200k+,1,853000,853000,853000,853000
2007,MITSUBISHI,CANTER,FE82DG,3-3.5,200k+,1,782000,782000,782000,782000
2007,MITSUBISHI,CANTER,FE83DCY,3-3.5,200k+,1,826000,826000,826000,826000
2007,MITSUBISHI,CANTER,FE83DEY,3-3.5,200k+,1,903000,903000,903000,903000
2007,MITSUBISHI,CANTER,FE83DEY,3-3.5,30k-60k,1,2504000,2504000,2504000,2504000
2007,MITSUBISHI,CANTER,FE83DEY,3-3.5,60k-90k,1,2742000,2742000,2742000,2742000
2007,MITSUBISHI,CANTER,FE83DGY,3-3.5,200k+,1,788000,788000,788000,788000
2007,MITSUBISHI,CANTER,FE83DN,3-3.5,150k-200k,1,2166000,2166000,2166000,2166000
2007,MITSUBISHI,CANTER,FE83DY,3-3.5,200k+,4,1129000,1128000,819000,1435000
2007,MITSUBISHI,CANTER,FE84DV,3-3.5,200k+,1,376000,376000,376000,376000
2007,MITSUBISHI,CANTER,FE84DV,R,200k+,1,467000,467000,467000,467000
2007,MITSUBISHI,CANTER,FE88DV,3-3.5,200k+,1,502000,502000,502000,502000
2007,MITSUBISHI,CANTER,FG70DBD,3-3.5,60k-90k,1,1536000,1536000,1536000,1536000
2007,MITSUBISHI,CANTER,PA-FE71BBD,R,120k-150k,1,646000,646000,646000,646000
2008,MAZDA,TITAN,LHR85A,3-3.5,120k-150k,2,303500,303500,290000,317000
2008,MAZDA,TITAN,LHR85A,3-3.5,150k-200k,1,360000,360000,360000,360000
2008,MAZDA,TITAN,LHR85A,3-3.5,200k+,1,308000,308000,308000,308000
2008,MAZDA,TITAN,LHR85A,4-4.5,90k-120k,1,490000,490000,490000,490000
2008,MAZDA,TITAN,LHS85A,3-3.5,0-30k,1,508000,508000,508000,508000
2008,MAZDA,TITAN,LHS85AN,3-3.5,200k+,1,280000,280000,280000,280000
2008,MAZDA,TITAN,LJR85A,3-3.5,0-30k,1,962000,962000,962000,962000
2008,MAZDA,TITAN,LJR85A,3-3.5,120k-150k,4,468500,497500,404000,649000
2008,MAZDA,TITAN,LJR85A,3-3.5,30k-60k,1,1498000,1498000,1498000,1498000
2008,MAZDA,TITAN,LJR85AD,3-3.5,120k-150k,1,930000,930000,930000,930000
2008,MAZDA,TITAN,LJR85AD,3-3.5,150k-200k,1,835000,835000,835000,835000
2008,MAZDA,TITAN,LJR85AD,R,120k-150k,1,642000,642000,642000,642000
2008,MAZDA,TITAN,LKR85AD,3-3.5,120k-150k,1,1055000,1055000,1055000,1055000
2008,MAZDA,TITAN,LKR85AN,3-3.5,200k+,1,658000,658000,658000,658000
2008,MAZDA,TITAN,LKR85AN,3-3.5,30k-60k,1,2093000,2093000,2093000,2093000
2008,MAZDA,TITAN,LLR85N,3-3.5,200k+,1,302000,302000,302000,302000
2008,MAZDA,TITAN,LNR85AR,3-3.5,200k+,1,486000,486000,486000,486000
2008,MAZDA,TITAN,LPR85AN,3-3.5,200k+,3,729000,719000,503000,925000
2008,MAZDA,TITAN,SYE6T,3-3.5,200k+,2,247500,247500,189000,306000
2008,MAZDA,TITAN,SYE6T,R,150k-200k,1,256000,256000,256000,256000
2008,MAZDA,TITAN,SYE6T,R,60k-90k,1,401000,401000,401000,401000
2008,MITSUBISHI,CANTER,FB70B,3-3.5,200k+,2,354500,354500,350000,359000
2008,MITSUBISHI,CANTER,FB70B,3-3.5,60k-90k,1,538000,538000,538000,538000
2008,MITSUBISHI,CANTER,FBA60,3-3.5,120k-150k,1,1081000,1081000,1081000,1081000
2008,MITSUBISHI,CANTER,FD70B,3-3.5,150k-200k,1,588000,588000,588000,588000
2008,MITSUBISHI,CANTER,FD70B,R,150k-200k,1,442000,442000,442000,442000
2008,MITSUBISHI,CANTER,FE70B,3-3.5,200k+,2,403500,403500,258000,549000
2008,MITSUBISHI,CANTER,FE70D,3-3.5,150k-200k,1,899000,899000,899000,899000
2008,MITSUBISHI,CANTER,FE70D,3-3.5,200k+,3,415000,605666,330000,1072000
2008,MITSUBISHI,CANTER,FE70D,R,150k-200k,1,433000,433000,433000,433000
2008,MITSUBISHI,CANTER,FE71BSD,3-3.5,200k+,1,748000,748000,748000,748000
2008,MITSUBISHI,CANTER,FE71DD,3-3.5,150k-200k,2,1780500,1780500,1577000,1984000
2008,MITSUBISHI,CANTER,FE71DD,3-3.5,200k+,2,1345500,1345500,1260000,1431000
2008,MITSUBISHI,CANTER,FE71DD,R,120k-150k,1,1115000,1115000,1115000,1115000
2008,MITSUBISHI,CANTER,FE71DD,R,150k-200k,1,1431000,1431000,1431000,1431000
2008,MITSUBISHI,CANTER,FE73B,3-3.5,150k-200k,1,499000,499000,499000,499000
2008,MITSUBISHI,CANTER,FE73BN,3-3.5,90k-120k,2,1099500,1099500,1064000,1135000
2008,MITSUBISHI,CANTER,FE73D,3-3.5,150k-200k,2,828000,828000,734000,922000
2008,MITSUBISHI,CANTER,FE73D,3-3.5,200k+,5,780000,872600,533000,1406000
2008,MITSUBISHI,CANTER,FE73D,3-3.5,30k-60k,3,824000,1125333,799000,1753000
2008,MITSUBISHI,CANTER,FE73D,R,200k+,1,453000,453000,453000,453000
2008,MITSUBISHI,CANTER,FE73DEN,3-3.5,200k+,2,712500,712500,650000,775000
2008,MITSUBISHI,CANTER,FE73DN,3-3.5,200k+,1,735000,735000,735000,735000
2008,MITSUBISHI,CANTER,FE74DV,3-3.5,200k+,2,401000,401000,392000,410000
2008,MITSUBISHI,CANTER,FE82BS,3-3.5,200k+,1,658000,658000,658000,658000
2008,MITSUBISHI,CANTER,FE82D,3-3.5,120k-150k,1,668000,668000,668000,668000
2008,MITSUBISHI,CANTER,FE82D,3-3.5,150k-200k,1,575000,575000,575000,575000
2008,MITSUBISHI,CANTER,FE82D,3-3.5,200k+,3,649000,689333,560000,859000
2008,MITSUBISHI,CANTER,FE83DGY,3-3.5,200k+,2,386500,386500,373000,400000
2008,MITSUBISHI,CANTER,FE83DN,3-3.5,150k-200k,1,1570000,1570000,1570000,1570000
2008,MITSUBISHI,CANTER,FE83DN,3-3.5,200k+,4,1259500,1218750,806000,1550000
2008,MITSUBISHI,CANTER,FE83DN,R,90k-120k,1,1372000,1372000,1372000,1372000
2008,MITSUBISHI,CANTER,FE83DY,3-3.5,150k-200k,1,1178000,1178000,1178000,1178000
2008,MITSUBISHI,CANTER,FE83DY,3-3.5,200k+,9,947000,1029333,600000,1621000
2008,MITSUBISHI,CANTER,FE83DY,3-3.5,30k-60k,3,869000,2037333,803000,4440000
2008,MITSUBISHI,CANTER,FE84DV,3-3.5,200k+,3,653000,695333,553000,880000
2008,MITSUBISHI,CANTER,FE84DV,R,200k+,1,312000,312000,312000,312000
2008,MITSUBISHI,CANTER,FG83D,3-3.5,120k-150k,1,2129000,2129000,2129000,2129000
2009,MAZDA,TITAN,LHR85A,3-3.5,30k-60k,1,339000,339000,339000,339000
2009,MAZDA,TITAN,LHR85AN,3-3.5,200k+,1,512000,512000,512000,512000
2009,MAZDA,TITAN,LKR85A,3-3.5,200k+,2,415000,415000,390000,440000
2009,MAZDA,TITAN,LKR85AD,R,120k-150k,1,416000,416000,416000,416000
2009,MAZDA,TITAN,LKR85AN,3-3.5,90k-120k,1,708000,708000,708000,708000
2009,MAZDA,TITAN,LMR85AN,3-3.5,200k+,2,476000,476000,443000,509000
2009,MAZDA,TITAN,LPR85AN,3-3.5,60k-90k,2,1175500,1175500,1156000,1195000
2009,MAZDA,TITAN,LPR85AR,3-3.5,60k-90k,1,1974000,1974000,1974000,1974000
2009,MAZDA,TITAN,SYE6T,3-3.5,150k-200k,1,471000,471000,471000,471000
2009,MITSUBISHI,CANTER,FB70B,3-3.5,0-30k,1,261000,261000,261000,261000
2009,MITSUBISHI,CANTER,FB70B,3-3.5,150k-200k,1,250000,250000,250000,250000
2009,MITSUBISHI,CANTER,FB70B,3-3.5,200k+,1,491000,491000,491000,491000
2009,MITSUBISHI,CANTER,FB70B,3-3.5,90k-120k,2,301000,301000,177000,425000
2009,MITSUBISHI,CANTER,FD70B,R,150k-200k,1,416000,416000,416000,416000
2009,MITSUBISHI,CANTER,FE70D,R,200k+,2,214500,214500,210000,219000
2009,MITSUBISHI,CANTER,FE70D,R,90k-120k,1,301000,301000,301000,301000
2009,MITSUBISHI,CANTER,FE71BD,3-3.5,150k-200k,1,1112000,1112000,1112000,1112000
2009,MITSUBISHI,CANTER,FE71DD,3-3.5,120k-150k,1,1879000,1879000,1879000,1879000
2009,MITSUBISHI,CANTER,FE71DD,R,200k+,2,1408000,1408000,1342000,1474000
2009,MITSUBISHI,CANTER,FE72B,3-3.5,200k+,1,520000,520000,520000,520000
2009,MITSUBISHI,CANTER,FE72D,3-3.5,120k-150k,1,448000,448000,448000,448000
2009,MITSUBISHI,CANTER,FE72D,3-3.5,200k+,1,306000,306000,306000,306000
2009,MITSUBISHI,CANTER,FE73B,3-3.5,150k-200k,1,533000,533000,533000,533000
2009,MITSUBISHI,CANTER,FE73B,3-3.5,200k+,1,289000,289000,289000,289000
2009,MITSUBISHI,CANTER,FE73D,3-3.5,0-30k,1,626000,626000,626000,626000
2009,MITSUBISHI,CANTER,FE73D,3-3.5,200k+,1,1500000,1500000,1500000,1500000
2009,MITSUBISHI,CANTER,FE73D,3-3.5,90k-120k,1,1807000,1807000,1807000,1807000
2009,MITSUBISHI,CANTER,FE73DN,3-3.5,200k+,1,1249000,1249000,1249000,1249000
2009,MITSUBISHI,CANTER,FE73DY,3-3.5,150k-200k,2,724000,724000,670000,778000
2009,MITSUBISHI,CANTER,FE73DY,3-3.5,200k+,1,667000,667000,667000,667000
2009,MITSUBISHI,CANTER,FE74BSV,3-3.5,0-30k,1,532000,532000,532000,532000
2009,MITSUBISHI,CANTER,FE74DV,3-3.5,200k+,2,398000,398000,323000,473000
2009,MITSUBISHI,CANTER,FE82BS,3-3.5,200k+,1,424000,424000,424000,424000
2009,MITSUBISHI,CANTER,FE82D,3-3.5,0-30k,1,364000,364000,364000,364000
2009,MITSUBISHI,CANTER,FE82D,3-3.5,200k+,2,574000,574000,459000,689000
2009,MITSUBISHI,CANTER,FE82D,R,200k+,1,587000,587000,587000,587000
2009,MITSUBISHI,CANTER,FE83DN,3-3.5,200k+,1,587000,587000,587000,587000
2009,MITSUBISHI,CANTER,FE83DY,3-3.5,120k-150k,1,2741000,2741000,2741000,2741000
